team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
MIN,2024,other,6,2.0,2.0,2.08,0.48,0.81,4.0,7.0,4.0,1.0,0.0,0.0
MIN,2024,all,6,19.0,18.0,18.28,19.15,0.49,153.0,193.0,22.0,20.0,15.0,13.0
MIN,2024,5on5,6,14.0,10.0,12.55,14.51,0.46,125.0,151.0,13.0,14.0,15.0,13.0
MIN,2024,4on5,6,0.0,4.0,0.4,3.74,0.1,4.0,29.0,1.0,5.0,0.0,0.0
MIN,2024,5on4,6,3.0,2.0,3.24,0.42,0.88,20.0,6.0,4.0,0.0,0.0,0.0
COL,2024,other,7,5.0,2.0,1.91,2.58,0.43,17.0,7.0,2.0,5.0,1.0,0.0
COL,2024,all,7,24.0,21.0,24.94,24.3,0.51,241.0,186.0,30.0,32.0,27.0,23.0
COL,2024,5on5,7,14.0,12.0,18.24,13.85,0.57,190.0,135.0,22.0,14.0,22.0,17.0
COL,2024,4on5,7,2.0,7.0,0.3,7.4,0.04,5.0,38.0,0.0,13.0,2.0,4.0
COL,2024,5on4,7,3.0,0.0,4.48,0.47,0.91,29.0,6.0,6.0,0.0,2.0,2.0
NJD,2024,other,5,1.0,4.0,1.11,2.98,0.27,3.0,8.0,2.0,3.0,0.0,0.0
NJD,2024,all,5,11.0,19.0,14.52,24.51,0.37,144.0,183.0,19.0,28.0,20.0,18.0
NJD,2024,5on5,5,10.0,9.0,12.37,14.79,0.46,120.0,135.0,17.0,16.0,18.0,17.0
NJD,2024,4on5,5,0.0,5.0,0.01,5.81,0.0,1.0,31.0,0.0,8.0,1.0,0.0
NJD,2024,5on4,5,0.0,1.0,1.01,0.93,0.52,20.0,9.0,0.0,1.0,1.0,1.0
WPG,2024,other,13,8.0,1.0,6.74,3.72,0.64,26.0,12.0,8.0,4.0,0.0,0.0
WPG,2024,all,13,35.0,40.0,39.89,37.99,0.51,366.0,303.0,38.0,43.0,57.0,58.0
WPG,2024,5on5,13,20.0,29.0,23.6,27.17,0.46,266.0,247.0,21.0,28.0,50.0,50.0
WPG,2024,4on5,13,0.0,10.0,0.54,6.78,0.07,11.0,39.0,1.0,11.0,4.0,6.0
WPG,2024,5on4,13,7.0,0.0,9.01,0.32,0.97,63.0,5.0,8.0,0.0,3.0,2.0
TOR,2024,other,13,2.0,6.0,4.27,4.54,0.48,11.0,22.0,7.0,7.0,2.0,0.0
TOR,2024,all,13,36.0,42.0,36.04,38.12,0.49,324.0,362.0,41.0,42.0,57.0,58.0
TOR,2024,5on5,13,27.0,28.0,23.02,28.54,0.45,253.0,289.0,19.0,30.0,45.0,51.0
TOR,2024,4on5,13,0.0,6.0,0.17,4.42,0.04,4.0,42.0,0.0,4.0,3.0,5.0
TOR,2024,5on4,13,7.0,2.0,8.58,0.62,0.93,56.0,9.0,15.0,1.0,7.0,2.0
TBL,2024,other,5,2.0,3.0,1.51,2.77,0.35,3.0,4.0,1.0,6.0,1.0,1.0
TBL,2024,all,5,12.0,19.0,13.34,17.46,0.43,112.0,128.0,14.0,23.0,20.0,23.0
TBL,2024,5on5,5,8.0,12.0,8.7,8.95,0.49,86.0,100.0,9.0,9.0,14.0,18.0
TBL,2024,4on5,5,0.0,4.0,0.34,5.37,0.06,6.0,18.0,0.0,8.0,2.0,4.0
TBL,2024,5on4,5,2.0,0.0,2.79,0.38,0.88,17.0,6.0,4.0,0.0,3.0,0.0
LAK,2024,other,6,3.0,7.0,5.17,4.22,0.55,20.0,10.0,6.0,6.0,0.0,0.0
LAK,2024,all,6,24.0,27.0,20.06,26.52,0.43,179.0,211.0,21.0,32.0,13.0,20.0
LAK,2024,5on5,6,14.0,15.0,10.86,18.18,0.37,128.0,170.0,8.0,22.0,11.0,19.0
LAK,2024,4on5,6,0.0,5.0,0.09,3.02,0.03,3.0,21.0,0.0,3.0,0.0,0.0
LAK,2024,5on4,6,7.0,0.0,3.94,1.09,0.78,28.0,10.0,7.0,1.0,2.0,1.0
VGK,2024,other,11,2.0,3.0,1.11,2.36,0.32,12.0,7.0,1.0,4.0,0.0,0.0
VGK,2024,all,11,28.0,35.0,31.66,32.36,0.49,313.0,303.0,31.0,38.0,27.0,30.0
VGK,2024,5on5,11,17.0,28.0,24.26,24.39,0.5,249.0,246.0,23.0,26.0,27.0,29.0
VGK,2024,4on5,11,2.0,4.0,0.44,5.14,0.08,6.0,43.0,0.0,7.0,0.0,0.0
VGK,2024,5on4,11,7.0,0.0,5.85,0.47,0.93,46.0,7.0,7.0,1.0,0.0,1.0
CAR,2024,other,15,8.0,4.0,7.7,6.13,0.56,19.0,10.0,9.0,9.0,0.0,0.0
CAR,2024,all,15,44.0,39.0,59.05,45.47,0.56,458.0,354.0,66.0,62.0,58.0,62.0
CAR,2024,5on5,15,24.0,29.0,36.21,31.78,0.53,344.0,288.0,38.0,43.0,53.0,57.0
CAR,2024,4on5,15,1.0,6.0,2.25,7.22,0.24,24.0,49.0,2.0,10.0,2.0,3.0
CAR,2024,5on4,15,11.0,0.0,12.9,0.33,0.97,71.0,7.0,17.0,0.0,3.0,2.0
EDM,2024,other,22,14.0,10.0,9.3,9.35,0.5,30.0,40.0,14.0,12.0,1.0,1.0
EDM,2024,all,22,82.0,73.0,78.24,70.53,0.53,703.0,621.0,91.0,74.0,84.0,79.0
EDM,2024,5on5,22,52.0,42.0,54.39,47.51,0.53,551.0,475.0,58.0,42.0,74.0,67.0
EDM,2024,4on5,22,0.0,20.0,1.6,12.8,0.11,21.0,94.0,1.0,19.0,6.0,8.0
EDM,2024,5on4,22,16.0,1.0,12.94,0.86,0.94,101.0,12.0,18.0,1.0,3.0,3.0
FLA,2024,other,23,12.0,7.0,10.6,8.66,0.55,27.0,27.0,18.0,10.0,2.0,2.0
FLA,2024,all,23,94.0,56.0,79.45,68.59,0.54,649.0,621.0,94.0,74.0,109.0,103.0
FLA,2024,5on5,23,63.0,38.0,50.52,43.77,0.54,513.0,475.0,51.0,42.0,91.0,79.0
FLA,2024,4on5,23,1.0,11.0,1.2,15.17,0.07,20.0,102.0,0.0,22.0,3.0,14.0
FLA,2024,5on4,23,18.0,0.0,17.14,0.99,0.95,89.0,17.0,25.0,0.0,13.0,8.0
DAL,2024,other,18,3.0,12.0,5.53,7.38,0.43,16.0,35.0,8.0,10.0,0.0,1.0
DAL,2024,all,18,45.0,60.0,59.23,60.27,0.5,456.0,545.0,69.0,63.0,71.0,68.0
DAL,2024,5on5,18,25.0,35.0,39.64,39.08,0.5,355.0,411.0,40.0,35.0,58.0,61.0
DAL,2024,4on5,18,0.0,11.0,0.93,12.84,0.07,12.0,83.0,1.0,17.0,5.0,2.0
DAL,2024,5on4,18,17.0,2.0,13.13,0.97,0.93,73.0,16.0,20.0,1.0,8.0,4.0
STL,2024,other,7,1.0,4.0,1.88,3.97,0.32,7.0,13.0,2.0,5.0,0.0,0.0
STL,2024,all,7,27.0,21.0,18.52,22.21,0.45,166.0,194.0,22.0,23.0,31.0,35.0
STL,2024,5on5,7,21.0,12.0,12.89,13.48,0.49,132.0,148.0,13.0,14.0,27.0,30.0
STL,2024,4on5,7,0.0,5.0,0.28,4.68,0.06,4.0,29.0,0.0,4.0,1.0,3.0
STL,2024,5on4,7,5.0,0.0,3.48,0.08,0.98,23.0,4.0,7.0,0.0,3.0,2.0
MTL,2024,other,5,0.0,4.0,2.41,2.89,0.46,8.0,6.0,3.0,4.0,0.0,0.0
MTL,2024,all,5,12.0,18.0,17.16,16.66,0.51,148.0,139.0,18.0,20.0,20.0,22.0
MTL,2024,5on5,5,7.0,11.0,11.36,11.6,0.49,117.0,113.0,13.0,12.0,18.0,21.0
MTL,2024,4on5,5,0.0,3.0,0.39,1.63,0.19,4.0,16.0,0.0,3.0,1.0,1.0
MTL,2024,5on4,5,5.0,0.0,2.99,0.54,0.85,19.0,4.0,2.0,1.0,1.0,0.0
OTT,2024,other,6,4.0,2.0,2.52,1.83,0.58,12.0,5.0,4.0,3.0,0.0,2.0
OTT,2024,all,6,16.0,19.0,15.3,17.37,0.47,144.0,151.0,17.0,22.0,29.0,27.0
OTT,2024,5on5,6,8.0,12.0,11.2,10.53,0.52,112.0,113.0,11.0,10.0,26.0,22.0
OTT,2024,4on5,6,2.0,5.0,0.31,4.94,0.06,2.0,30.0,1.0,9.0,1.0,2.0
OTT,2024,5on4,6,2.0,0.0,1.27,0.07,0.95,18.0,3.0,1.0,0.0,2.0,1.0
WSH,2024,other,10,6.0,2.0,4.56,4.53,0.5,11.0,13.0,7.0,7.0,0.0,0.0
WSH,2024,all,10,25.0,27.0,30.95,35.1,0.47,235.0,297.0,43.0,40.0,38.0,37.0
WSH,2024,5on5,10,15.0,17.0,22.17,23.85,0.48,189.0,234.0,29.0,28.0,36.0,34.0
WSH,2024,4on5,10,0.0,8.0,0.68,5.34,0.11,7.0,37.0,1.0,4.0,0.0,1.0
WSH,2024,5on4,10,4.0,0.0,3.54,1.38,0.72,28.0,13.0,6.0,1.0,2.0,2.0
