playerId,name,team,season,situation,games_played,icetime
8478048,Igor Shesterkin,NYR,2022,all,58,3488:46
8478872,Karel Vejmelka,ARI,2022,all,50,2940:50
8479979,Jake Oettinger,DAL,2022,all,62,3644:53
8477968,Alex Nedeljkovic,DET,2022,all,15,832:38
8477967,Thatcher Demko,VAN,2022,all,32,1878:31
8476999,Linus Ullmark,BOS,2022,all,49,2882:12
8478009,Ilya Sorokin,NYI,2022,all,62,3587:04
8480280,Jeremy Swayman,BOS,2022,all,37,2012:59
8476945,Connor Hellebuyck,WPG,2022,all,64,3778:00
8476883,Andrei Vasilevskiy,TBL,2022,all,60,3596:25
8478007,Elvis Merzlikins,CBJ,2022,all,30,1560:12
8480867,Kevin Mandolese,OTT,2022,all,3,182:12
8482137,Yaroslav Askarov,NSH,2022,all,1,57:50
8480981,Joel Hofer,STL,2022,all,6,317:12
8471306,Thomas Greiss,STL,2022,all,21,1089:21
8477992,Jonas Johansson,COL,2022,all,3,142:57
8478024,Ville Husso,DET,2022,all,56,3220:14
8478499,Adin Hill,VGK,2022,all,27,1490:54
8477970,Vitek Vanecek,NJD,2022,all,52,2915:34
8474593,Jacob Markstrom,CGY,2022,all,59,3410:50
8470594,Marc-Andre Fleury,MIN,2022,all,46,2654:17
8481033,Akira Schmid,NJD,2022,all,18,901:21
8475831,Philipp Grubauer,SEA,2022,all,39,2065:37
8476234,Keith Kinkaid,COL,2022,all,2,87:51
8477465,Tristan Jarry,PIT,2022,all,47,2650:02
8479312,Alex Lyon,FLA,2022,all,15,893:11
8473503,James Reimer,SJS,2022,all,43,2538:00
8477480,Eric Comrie,BUF,2022,all,19,1111:59
8476434,John Gibson,ANA,2022,all,53,3004:55
8478902,Erik Kallgren,TOR,2022,all,10,561:40
8482221,Devon Levi,BUF,2022,all,7,429:01
8478971,Connor Ingram,ARI,2022,all,27,1586:40
8476903,Jon Gillies,CBJ,2022,all,3,118:09
8478433,Felix Sandstrom,PHI,2022,all,20,1112:51
8480313,Logan Thompson,VGK,2022,all,37,2171:22
8475660,Cam Talbot,OTT,2022,all,36,1947:00
8474682,Dustin Tokarski,PIT,2022,all,4,209:24
8476914,Joonas Korpisalo,LAK,2022,all,39,2171:57
8479292,Charlie Lindgren,WSH,2022,all,31,1692:04
8476316,Laurent Brossoit,VGK,2022,all,11,636:02
8475789,Jack Campbell,EDM,2022,all,36,2026:23
8475683,Sergei Bobrovsky,FLA,2022,all,50,2834:22
8480042,Olle Eriksson Ek,ANA,2022,all,1,63:59
8478916,Joey Daccord,SEA,2022,all,5,248:08
8481519,Spencer Knight,FLA,2022,all,21,1168:45
8477180,Aaron Dell,SJS,2022,all,4,199:17
8480193,Daniil Tarasov,CBJ,2022,all,17,874:08
8471418,Anton Khudobin,CHI,2022,all,1,60:00
8476341,Anton Forsberg,OTT,2022,all,28,1471:43
8483158,Matthew Berlin,EDM,2022,all,1,2:26
8480843,Lukas Dostal,ANA,2022,all,19,1062:43
8471774,Alex Stalock,CHI,2022,all,27,1475:20
8481692,Dustin Wolf,CGY,2022,all,1,59:54
8478039,Kaapo Kahkonen,SJS,2022,all,37,2106:15
8482447,Leevi Merilainen,OTT,2022,all,2,85:05
8470880,Brian Elliott,TBL,2022,all,22,1324:44
8477424,Juuse Saros,NSH,2022,all,64,3809:59
8475311,Darcy Kuemper,WSH,2022,all,57,3223:47
8479973,Stuart Skinner,EDM,2022,all,50,2903:05
8481020,Justus Annunen,COL,2022,all,2,117:20
8474636,Michael Hutchinson,CBJ,2022,all,16,755:27
8480925,Pavel Francouz,COL,2022,all,16,965:05
8473575,Semyon Varlamov,NYI,2022,all,23,1334:44
8483183,Jett Alexander,TOR,2022,all,1,1:10
8480199,Eetu Makiniemi,SJS,2022,all,2,84:20
8479406,Filip Gustavsson,MIN,2022,all,39,2310:56
8478492,Ilya Samsonov,TOR,2022,all,42,2475:36
8482821,Arvid Soderblom,CHI,2022,all,15,835:14
8475809,Scott Wedgewood,DAL,2022,all,21,1126:52
8477831,Pheonix Copley,LAK,2022,all,37,2089:29
8481544,Mads Sogaard,OTT,2022,all,19,1047:45
8480263,Dylan Ferguson,OTT,2022,all,2,118:52
8480045,Ukko-Pekka Luukkonen,BUF,2022,all,33,1910:13
8480238,Jiri Patera,VGK,2022,all,2,120:00
8477361,Cal Petersen,LAK,2022,all,10,543:28
8471734,Jonathan Quick,VGK,2022,all,41,2234:45
8477293,Antti Raanta,CAR,2022,all,27,1561:13
8474889,Martin Jones,SEA,2022,all,48,2625:39
8470860,Jaroslav Halak,NYR,2022,all,25,1453:56
8479380,Dylan Wells,CHI,2022,all,1,20:00
8475883,Frederik Andersen,CAR,2022,all,34,1984:21
8478406,Mackenzie Blackwood,NJD,2022,all,22,1125:33
8476433,Magnus Hellberg,DET,2022,all,18,936:21
8478470,Sam Montembeault,MTL,2022,all,40,2333:51
8478435,Dan Vladar,CGY,2022,all,27,1483:55
8479394,Carter Hart,PHI,2022,all,55,3163:46
8477484,Spencer Martin,VAN,2022,all,29,1610:11
8480947,Kevin Lankinen,NSH,2022,all,19,1069:10
8483575,Matt Murray,DAL,2022,all,3,177:02
8479496,David Rittich,WPG,2022,all,21,1121:41
8480420,Collin Delia,VAN,2022,all,20,1135:40
8480382,Alexandar Georgiev,COL,2022,all,62,3700:20
8480051,Cayden Primeau,MTL,2022,all,3,138:35
8481611,Pyotr Kochetkov,CAR,2022,all,24,1403:56
8483530,Jaxson Stauber,CHI,2022,all,6,363:30
8476932,Anthony Stolarz,ANA,2022,all,19,820:03
8481035,Samuel Ersson,PHI,2022,all,12,644:55
8474596,Jake Allen,MTL,2022,all,42,2450:25
8482982,Jet Greaves,CBJ,2022,all,1,58:57
8467950,Craig Anderson,BUF,2022,all,26,1490:02
8479193,Casey DeSmith,PIT,2022,all,38,2065:57
8476899,Matt Murray,TOR,2022,all,26,1473:10
8475852,Petr Mrazek,CHI,2022,all,39,2165:10
8481668,Arturs Silovs,VAN,2022,all,5,305:56
8479361,Joseph Woll,TOR,2022,all,7,416:26
8476412,Jordan Binnington,STL,2022,all,61,3516:04
8481031,Ivan Prosvetov,ARI,2022,all,7,422:02
